"name","type","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"cope","numeric",0.000607533414337789,96,1.06009804494728,1.03571428571429,1.03571428571429,NA,1.06009804494728,NA,0,2.37037037037037,2.37037037037037,0.159928494841356,2.96119743252042,0.195659951690797,1.81161626395486,NA,NA
"freq_who","numeric",0.00352369380315917,7,2.06706499207414,2,2,NA,2.06706499207414,NA,0,5,5,0.293711709550851,5.43035797434475,-1.1293703578379,-10.4415865405828,NA,NA
"freq_nhs","numeric",0.00473876063183475,7,2.24331583445245,2,2,NA,2.24331583445245,NA,0,5,5,0.0585233106947527,1.08136233582683,-1.06368726072015,-9.82831990248159,NA,NA
"freq_gov","numeric",0.00510328068043742,7,2.08536883243771,2,2,NA,2.08536883243771,NA,0,5,5,0.219840929174521,4.06135905943892,-0.982645183423583,-9.07784071839724,NA,NA
"freq_newspaper","numeric",0.00413122721749696,7,2.92886774036115,3,3,NA,2.92886774036115,NA,0,5,5,-0.411794957324272,-7.61124742270197,-0.886214320859508,-8.19099236041414,NA,NA
"freq_fb","numeric",0.00437424058323208,7,1.35648035147669,1,1,NA,1.35648035147669,NA,0,5,5,0.881361709656187,16.2883097311514,-0.560255461343154,-5.17762858223786,NA,NA
"freq_tw","numeric",0.00473876063183475,7,1.09571480893664,0,0,NA,1.09571480893664,NA,0,5,5,1.24654141931321,23.0329235460406,0.124782805027938,1.15297547637568,NA,NA
"freq_ig","numeric",0.00498177399756987,7,0.470875564782025,0,0,NA,0.470875564782025,NA,0,5,5,2.51420338226111,46.4504312927121,6.01005613408518,55.5252930391952,NA,NA
"freq_maps","numeric",0.00352369380315917,7,2.83453237410072,3,3,NA,2.83453237410072,NA,0,5,5,-0.323753625182936,-5.98579499238791,-0.950051248441035,-8.78369284242329,NA,NA
"freq_google","numeric",0.00437424058323208,7,1.3501342445692,1,1,NA,1.3501342445692,NA,0,5,5,0.883317500905918,16.3244544073906,-0.288585707287173,-2.666979100736,NA,NA
"trust_who","numeric",0.00291616038882139,6,2.67548135510602,3,3,NA,2.67548135510602,NA,0,4,4,-0.653512676256027,-12.0863040825937,-0.348481981309678,-3.22286938205118,NA,NA
"trust_nhs","numeric",0.00328068043742406,6,2.69779349018652,3,3,NA,2.69779349018652,NA,0,4,4,-0.614132804034125,-11.3559226300813,-0.19277681539727,-1.78253401796762,NA,NA
"trust_gov","numeric",0.00388821385176185,6,2.21102707977556,2,2,NA,2.21102707977556,NA,0,4,4,-0.268380199204503,-4.96110306625484,-0.684538581697531,-6.32774016721115,NA,NA
"trust_newspaper","numeric",0.00376670716889429,6,1.8669349920722,2,2,NA,1.8669349920722,NA,0,4,4,-0.0311927319074945,-0.576643854239858,-0.350590496527151,-3.24098720503808,NA,NA
"trust_fb","numeric",0.00558930741190765,6,0.518084066471163,0,0,NA,0.518084066471163,NA,0,4,4,1.31189993198,24.2302266971844,1.26656328100975,11.6978670144366,NA,NA
"trust_tw","numeric",0.0119076549210207,6,0.688268568617806,0,0,NA,0.688268568617806,NA,0,4,4,1.25688557189912,23.1402950491481,0.881712826073443,8.11752560259273,NA,NA
